metrics_key,episode,total_reward,average_rolling_reward,loss,duration,epsilon,steps,learning_rate
20240511235615,1,25.0,25.0,,0.5204572677612305,1.0,25,0.001
20240511235615,2,12.0,18.5,,0.26235532760620117,0.99,12,0.001
20240511235615,3,15.0,17.333333333333332,,0.3203279972076416,0.9801,15,0.001
20240511235615,4,23.0,18.75,,0.4815843105316162,0.9702989999999999,23,0.001
20240511235615,5,12.0,17.4,,0.26645350456237793,0.96059601,12,0.001
20240511235615,6,22.0,18.166666666666668,,0.4601724147796631,0.9509900498999999,22,0.001
20240511235615,7,12.0,17.285714285714285,,0.2626194953918457,0.9414801494009999,12,0.001
20240511235615,8,10.0,16.375,,0.22107887268066406,0.9320653479069899,10,0.001
20240511235615,9,52.0,20.333333333333332,,1.068105936050415,0.92274469442792,52,0.001
20240511235615,10,28.0,21.1,,0.582726001739502,0.9135172474836407,28,0.001
20240511235615,11,22.0,21.181818181818183,,0.4620523452758789,0.9043820750088043,22,0.001
20240511235615,12,10.0,20.25,,0.22481536865234375,0.8953382542587163,10,0.001
20240511235615,13,9.0,19.384615384615383,,0.2000560760498047,0.8863848717161291,9,0.001
20240511235615,14,12.0,18.857142857142858,,0.260040283203125,0.8775210229989678,12,0.001
20240511235615,15,12.0,18.4,,0.2627542018890381,0.8687458127689781,12,0.001
20240511235615,16,12.0,18.0,,0.2609684467315674,0.8600583546412883,12,0.001
20240511235615,17,23.0,18.294117647058822,,0.4818565845489502,0.8514577710948754,23,0.001
20240511235615,18,31.0,19.0,,0.6432204246520996,0.8429431933839266,31,0.001
20240511235615,19,24.0,19.263157894736842,,0.5014286041259766,0.8345137614500874,24,0.001
20240511235615,20,13.0,18.95,,0.2814316749572754,0.8261686238355865,13,0.001
20240511235615,21,11.0,18.571428571428573,,0.24138402938842773,0.8179069375972307,11,0.001
20240511235615,22,12.0,18.272727272727273,,0.2601313591003418,0.8097278682212583,12,0.001
20240511235615,23,23.0,18.47826086956522,,0.4848635196685791,0.8016305895390458,23,0.001
20240511235615,24,11.0,18.166666666666668,,0.24213314056396484,0.7936142836436553,11,0.001
20240511235615,25,13.0,17.96,,0.28171539306640625,0.7856781408072188,13,0.001
20240511235615,26,14.0,17.807692307692307,,0.30093955993652344,0.7778213593991465,14,0.001
20240511235615,27,14.0,17.666666666666668,,0.30021023750305176,0.7700431458051551,14,0.001
20240511235615,28,10.0,17.392857142857142,,0.21936631202697754,0.7623427143471035,10,0.001
20240511235615,29,15.0,17.310344827586206,,0.3215522766113281,0.7547192872036325,15,0.001
20240511235615,30,32.0,17.8,0.756812741592185,0.6636419296264648,0.7471720943315961,32,0.001
20240511235615,31,26.0,18.06451612903226,0.48429508712450153,0.5227310657501221,0.7397003733882802,26,0.001
20240511235615,32,9.0,17.78125,0.27757937100012015,0.18329119682312012,0.7323033696543974,9,0.001
20240511235615,33,9.0,17.515151515151516,0.27112510773329446,0.18192172050476074,0.7249803359578534,9,0.001
20240511235615,34,22.0,17.647058823529413,0.20414364025260787,0.4436931610107422,0.7177305325982748,22,0.001
20240511235615,35,9.0,17.4,0.1459427354414034,0.18245983123779297,0.7105532272722921,9,0.001
20240511235615,36,18.0,17.416666666666668,0.14904826096706952,0.3669850826263428,0.7034476949995692,18,0.001
20240511235615,37,10.0,17.216216216216218,0.14548973583306085,0.20261836051940918,0.6964132180495735,10,0.001
20240511235615,38,32.0,17.605263157894736,0.14131628002389474,0.6423702239990234,0.6894490858690777,32,0.001
20240511235615,39,12.0,17.46153846153846,0.1276830608762695,0.2415149211883545,0.682554595010387,12,0.001
20240511235615,40,12.0,17.325,0.13669533767148026,0.24430227279663086,0.6757290490602831,12,0.001
20240511235615,41,34.0,17.73170731707317,0.12715042980735974,0.6815345287322998,0.6689717585696803,34,0.001
20240511235615,42,18.0,17.738095238095237,0.13036061981769395,0.3619577884674072,0.6622820409839835,18,0.001
20240511235615,43,14.0,17.651162790697676,0.1086559327391346,0.2818739414215088,0.6556592205741436,14,0.001
20240511235615,44,12.0,17.522727272727273,0.1562941187525127,0.24275970458984375,0.6491026283684022,12,0.001
20240511235615,45,15.0,17.466666666666665,0.14891645525900776,0.302473783493042,0.6426116020847181,15,0.001
20240511235615,46,44.0,18.043478260869566,0.17337554289312568,0.8844566345214844,0.6361854860638709,44,0.001
20240511235615,47,15.0,17.97872340425532,0.1622757185122871,0.30199670791625977,0.6298236312032323,15,0.001
20240511235615,48,40.0,18.4375,0.12532472323630325,0.8062775135040283,0.6235253948912,40,0.001
20240511235615,49,27.0,18.612244897959183,0.16662098910015344,0.5424716472625732,0.617290140942288,27,0.001
20240511235615,50,24.0,18.72,0.1281496255158022,0.48240160942077637,0.6111172395328651,24,0.001
20240511235615,51,19.0,18.725490196078432,0.13992826850790052,0.3837087154388428,0.6050060671375365,19,0.001
20240511235615,52,36.0,19.057692307692307,0.17071353976509754,0.7279329299926758,0.5989560064661611,36,0.001
20240511235615,53,15.0,18.9811320754717,0.1847712493071177,0.30132007598876953,0.5929664464014994,15,0.001
20240511235615,54,38.0,19.333333333333332,0.1495469354195017,0.7631814479827881,0.5870367819374844,38,0.001
20240511235615,55,19.0,19.327272727272728,0.16477482638902205,0.3812828063964844,0.5811664141181095,19,0.001
20240511235615,56,15.0,19.25,0.15489446686739863,0.3040642738342285,0.5753547499769285,15,0.001
20240511235615,57,34.0,19.50877192982456,0.19778780581564975,0.6857714653015137,0.5696012024771592,34,0.001
20240511235615,58,17.0,19.46551724137931,0.17097473080296274,0.34029197692871094,0.5639051904523876,17,0.001
